activity,category,entity,id,name
Astronomie,Naturwissenschaft / Technik,Astronomie,04A06,Peter-A.-Silbermann-Schule
Astrophysik,Naturwissenschaft / Technik,Astrophysik,04A06,Peter-A.-Silbermann-Schule
Literatur,Literatur / Medien,Literatur,04A06,Peter-A.-Silbermann-Schule
Bildende Kunst,Kunst / Kultur,Bildende Kunst,04A06,Peter-A.-Silbermann-Schule
Rudern,Sport,Rudern,04P11,Evangelisches Gymnasium zum Grauen Kloster
Badminton,Sport,Badminton,06G01,Nord-Grundschule
Chor,Musik / Tanz,Chor,06G01,Nord-Grundschule
Computer,Naturwissenschaft / Technik,Computer,06G01,Nord-Grundschule
Fitness für Kinder,Sport,Fitness,06G01,Nord-Grundschule
Elektronik,Naturwissenschaft / Technik,Elektronik,06G01,Nord-Grundschule
Judo,Sport,Judo,06G01,Nord-Grundschule
Leseratten,Literatur / Medien,Leseratten,06G01,Nord-Grundschule
Mediation,Gesellschaft / Partizipation,Mediation,06G01,Nord-Grundschule
Theater,Kunst / Kultur,Theater,06G01,Nord-Grundschule
Töpfern & Werken,Handwerk,Werken,06G01,Nord-Grundschule
Medienecken in den Klassen,nc,Medienecken,06G01,Nord-Grundschule
div. Sportangebote,Sport,Sportangebote,06G02,Süd-Grundschule
Zirkus,Kultur / Kunst,Zirkus,06G06,Mühlenau-Grundschule
Hockey,Sport,Hockey,06G06,Mühlenau-Grundschule
Fußball,Sport,Fußball,06G06,Mühlenau-Grundschule
Badminton,Sport,Badminton,06G06,Mühlenau-Grundschule
Judo,Sport,Judo,06G06,Mühlenau-Grundschule
Rugby,Sport,Rugby,06G06,Mühlenau-Grundschule
Tanzen,Musik / Tanz,Tanzen,06G06,Mühlenau-Grundschule
Chor,Musik / Tanz,Chor,06G06,Mühlenau-Grundschule
Töpfern usw.,Handwerk,Töpfern,06G06,Mühlenau-Grundschule
Garten,Umwelt,Garten,06G07,Zinnowwald-Grundschule
Schulchor,Musik / Tanz,Chor,06G07,Zinnowwald-Grundschule
Computer,Naturwissenschaft / Technik,Computer,06G07,Zinnowwald-Grundschule
Capoeira,Musik / Tanz,Capoeira,06G07,Zinnowwald-Grundschule
Theaterspiel und Kulissenbau,Kunst / Kultur,Theaterspiel und Kulissenbau,06G07,Zinnowwald-Grundschule
Farbtanz,Musik / Tanz,Farbtanz,06G07,Zinnowwald-Grundschule
Dance for Kids,Musik / Tanz,Dance for Kids,06G07,Zinnowwald-Grundschule
Schwimmen,Sport,Schwimmen,06G07,Zinnowwald-Grundschule
Hockey,Sport,Hockey,06G07,Zinnowwald-Grundschule
Fußball,Sport,Fußball,06G07,Zinnowwald-Grundschule
Basketball,Sport,Basketball,06G07,Zinnowwald-Grundschule
Judo,Sport,Judo,06G07,Zinnowwald-Grundschule
Tennis,Sport,Tennis,06G07,Zinnowwald-Grundschule
Vielfältige Arbeitsgemeinschaften (u.a. Chinesisch),nc,Vielfältige Arbeitsgemeinschaften,06G10,Grundschule am Buschgraben
Chor,Musik / Tanz,Chor,02P12,Kreativitätsschulzentrum Berlin gGmbH
Schach,Sport,Schach,02P12,Kreativitätsschulzentrum Berlin gGmbH
Badminton,Sport,Badminton,02P12,Kreativitätsschulzentrum Berlin gGmbH
Theater,Kunst / Kultur,Theater,06K09,Gail-S.-Halvorsen-Integrierte Sekundarschule
Mediation,Gesellschaft / Partizipation,Mediation,06K09,Gail-S.-Halvorsen-Integrierte Sekundarschule
Schulband,Musik / Tanz,Schulband,06K09,Gail-S.-Halvorsen-Integrierte Sekundarschule
Russisch,Sprachen,Russisch,06K09,Gail-S.-Halvorsen-Integrierte Sekundarschule
Basketball,Sport,Basketball,06Y01,Schadow-Gymnasium
Fußball,Sport,Fußball,06Y01,Schadow-Gymnasium
Geräteturnen,Sport,Geräteturnen,06Y01,Schadow-Gymnasium
Aerobic,Sport,Aerobic,06Y01,Schadow-Gymnasium
Rudern,Sport,Rudern,06Y01,Schadow-Gymnasium
Fotografie,Literatur / Medien,Fotografie,06Y01,Schadow-Gymnasium
Theater,Kunst / Kultur,Theater,06Y01,Schadow-Gymnasium
Griechisch,Sprachen,Griechisch,06Y01,Schadow-Gymnasium
Italienisch,Sprachen,Italienisch,06Y01,Schadow-Gymnasium
Russisch,Sprachen,Russisch,06Y01,Schadow-Gymnasium
Vorbereitung DELF-Diplom,Sprachen,DELF-Diplom,06Y01,Schadow-Gymnasium
Schulhof-AG,Gesellschaft / Partizipation,Schulhof-AG,06Y01,Schadow-Gymnasium
Mediation,Gesellschaft / Partizipation,Mediation,06Y01,Schadow-Gymnasium
Homepage,Naturwissenschaft / Technik,Homepage,06Y01,Schadow-Gymnasium
Jazzband,Musik / Tanz,Jazzband,06Y01,Schadow-Gymnasium
Chor,Musik / Tanz,Chor,06Y01,Schadow-Gymnasium
Orchester,Musik / Tanz,Orchester,06Y01,Schadow-Gymnasium
"""Die Diplomaten""",no category,no group,06Y01,Schadow-Gymnasium
Vorbereitung DELF-Diplom,Sprachen,DELF-Diplom,06Y02,Droste-Hülshoff-Gymnasium
Instrumentalunterricht,Musik / Tanz,Instrumentalunterricht,06Y02,Droste-Hülshoff-Gymnasium
Blechbläser,Musik / Tanz,Blechbläser,06Y02,Droste-Hülshoff-Gymnasium
Bläserensemble,Musik / Tanz,Bläserensemble,06Y02,Droste-Hülshoff-Gymnasium
Orchester,Musik / Tanz,Orchester,06Y02,Droste-Hülshoff-Gymnasium
Chor,Musik / Tanz,Chor,06Y02,Droste-Hülshoff-Gymnasium
Film-Musik,Musik / Tanz,Film-Musik,06Y02,Droste-Hülshoff-Gymnasium
Darstellendes Spiel,Gesellschaft / Partizipation,Darstellendes Spiel,06Y02,Droste-Hülshoff-Gymnasium
Politik-AG,Gesellschaft / Partizipation,Politik,06Y02,Droste-Hülshoff-Gymnasium
Basketball,Sport,Basketball,06Y02,Droste-Hülshoff-Gymnasium
Volleyball,Sport,Volleyball,06Y02,Droste-Hülshoff-Gymnasium
Rudern,Sport,Rudern,06Y02,Droste-Hülshoff-Gymnasium
Russisch für Anfänger und Fortgeschrittene,Sprachen,Russisch,06Y02,Droste-Hülshoff-Gymnasium
Foto-AG,Kunst / Kultur,Foto,06Y02,Droste-Hülshoff-Gymnasium
Klimaretter,Umwelt,Klima,06Y02,Droste-Hülshoff-Gymnasium
Töpfern / Werken,Handwerk,Werken,06Y02,Droste-Hülshoff-Gymnasium
Filmabende,Literatur / Medien,Filmabende,06Y02,Droste-Hülshoff-Gymnasium
Schule ohne Rassismus - Schule mit Courage,no category,no group,06Y02,Droste-Hülshoff-Gymnasium
Instrumentalunterricht in Kooperation mit der Musikschule Steglitz-Zehlendorf,Musik / Tanz,Instrumentalunterricht,06Y03,Arndt-Gymnasium Dahlem
Blas-,no category,no group,06Y03,Arndt-Gymnasium Dahlem
Saiten- und Schlaginstrumente mit Integration in die Orchesterarbeit,no category,no group,06Y03,Arndt-Gymnasium Dahlem
mehrere Orchester und Bigbands,Musik / Tanz,Orchester,06Y03,Arndt-Gymnasium Dahlem
Chöre,Musik / Tanz,Chor,06Y03,Arndt-Gymnasium Dahlem
Tanzen,Musik / Tanz,Tanzen,06Y03,Arndt-Gymnasium Dahlem
div. Sportgruppen (u.a. Rudern,Hockey),Sport,06Y03,Arndt-Gymnasium Dahlem
Rugby,Sport,Rugby,06Y03,Arndt-Gymnasium Dahlem
Tennis,Sport,Tennis,06Y03,Arndt-Gymnasium Dahlem
Hockey),no category,no group,06Y03,Arndt-Gymnasium Dahlem
Mediation,Gesellschaft / Partizipation,Mediation,06Y03,Arndt-Gymnasium Dahlem
Robotics,Naturwissenschaft / Technik,Robotics,06Y03,Arndt-Gymnasium Dahlem
Informatik,Naturwissenschaft / Technik,Informatik,06Y03,Arndt-Gymnasium Dahlem
Malerei,Kunst / Kultur,Malerei,06Y03,Arndt-Gymnasium Dahlem
Bühnentechnik,Naturwissenschaft / Technik,Bühnentechnik,06Y03,Arndt-Gymnasium Dahlem
Konfliktlotsentraining,Gesellschaft / Partizipation,Konfliktlotse,04S07,Comenius-Schule
Buchbinden,Literatur / Medien,Buchbinden,04S07,Comenius-Schule
Kochen,Handwerk,Kochen,04S07,Comenius-Schule
Kulturelle Ausflüge,Kunst / Kultur,Ausflüge,04S07,Comenius-Schule
Schülerzeitung,Literatur / Medien,Schülerzeitung,04S07,Comenius-Schule
Textiles Werken,Handwerk,Werken,04S07,Comenius-Schule
Tanzen,Musik / Tanz,Tanzen,04S07,Comenius-Schule
