web-scraper-order,web-scraper-start-url,school_id,name,type,ortsteil,bezirk
"1522831749-1548","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","01P33","BBA-Akademie für Immobilienwirtschaft e.V.","Berufsschule","Tiergarten","Mitte"
"1522831749-2189","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","10K09","Konrad-Wachsmann-Schule","Integrierte Sekundarschule","Hellersdorf","Marzahn-Hellersdorf"
"1522831749-1514","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","04B05","Anna-Freud-Schule (OSZ Sozialwesen)","Berufsfachschule","Charlottenburg-Nord","Charlottenburg-Wilmersdorf"
"1522831749-1779","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","05G01","Ernst-Ludwig-Heim-Grundschule","Grundschule","Spandau","Spandau"
"1522831749-2690","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","07E15","Tanzakademie balance 1","Künstlerische Schule","Tempelhof","Tempelhof-Schöneberg"
"1522831749-2252","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","04B01","Loschmidt-Oberschule","Berufsschule","Charlottenburg","Charlottenburg-Wilmersdorf"
"1522831749-2138","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","05P02","Katholische Schule Bernhard Lichtenberg (Grundschule)","Grundschule","Spandau","Spandau"
"1522831749-2366","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","02B03","OSZ Bekleidung und Mode","Fachoberschule","Kreuzberg","Friedrichshain-Kreuzberg"
"1522831749-1759","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","06P14","Emil-Molt-Akademie","Fachoberschule","Steglitz","Steglitz-Zehlendorf"
"1522831749-1939","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","03G03","Grundschule am Kollwitzplatz","Grundschule","Prenzlauer Berg","Pankow"
"1522831749-1831","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","02P14","Freie Fachschule für Sozialpädagogik Berlin","Fachschule","Kreuzberg","Friedrichshain-Kreuzberg"
"1522831749-1697","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","06G05","Conrad-Schule (Grundschule)","Grundschule","Wannsee","Steglitz-Zehlendorf"
"1522831749-1540","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","02B01","August-Sander-Schule","Berufsschule mit sonderpäd. Aufgaben","Friedrichshain","Friedrichshain-Kreuzberg"
"1522831749-2696","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","02S01","Temple-Grandin-Schule","Berufsschule mit sonderpäd. Aufgaben","Friedrichshain","Friedrichshain-Kreuzberg"
"1522831749-1457","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","08A07","6. Schulpraktisches Seminar Neukölln","Schulpraktisches Seminar","Rudow","Neukölln"
"1522831749-1682","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","08G26","Christoph-Ruden-Schule (Grundschule)","Grundschule","Buckow","Neukölln"
"1522831749-2195","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","01E33","Kosmetikcollege-Inspiration","Kosmetikschule","Mitte","Mitte"
"1522831749-1985","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","04G22","Grunewald-Grundschule","Grundschule","Grunewald","Charlottenburg-Wilmersdorf"
"1522831749-1401","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","05A01","1. Schulpraktisches Seminar Spandau","Schulpraktisches Seminar","Falkenhagener Feld","Spandau"
"1522831749-2480","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","10B02","Rahel-Hirsch-Schule (OSZ Gesundheit/Medizin)","Fachoberschule","Hellersdorf","Marzahn-Hellersdorf"
"1522831749-1964","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","05G28","Grundschule an der Pulvermühle","Grundschule","Haselhorst","Spandau"
"1522831749-2570","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","09G05","Schule am Ginkobaum (Grundschule)","Grundschule","Johannisthal","Treptow-Köpenick"
"1522831749-2091","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","02P03","Islamische Grundschule","Grundschule","Kreuzberg","Friedrichshain-Kreuzberg"
"1522831749-2171","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","03P22","Klax-Schule (Integrierte Sekundarschule)","Integrierte Sekundarschule","Pankow","Pankow"
"1522831749-2328","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","09G20","Müggelheimer Schule (Grundschule)","Grundschule","Müggelheim","Treptow-Köpenick"
"1522831749-2481","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","10B02","Rahel-Hirsch-Schule (OSZ Gesundheit/Medizin)","Berufsschule","Hellersdorf","Marzahn-Hellersdorf"
"1522831749-2286","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","08G28","Matthias-Claudius-Schule (Grundschule)","Grundschule","Rudow","Neukölln"
"1522831749-1704","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","01E36","Danceworks berlin eG","Künstlerische Schule","Wedding","Mitte"
"1522831749-2775","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","01P42","WWV Bildungsakademie gGmbH","Berufsfachschule","Mitte","Mitte"
"1522831749-2673","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","03B08","Staatliche Ballettschule Berlin und Schule für Artistik","Berufliches Gymnasium","Prenzlauer Berg","Pankow"
"1522831749-2053","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","09B03","Hermann-Scheer-Schule (OSZ Wirtschaft)","Berufsschule","Oberschöneweide","Treptow-Köpenick"
"1522831749-1717","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","04E20","DIE NEUE SCHULE","Sprachenschule","Wilmersdorf","Charlottenburg-Wilmersdorf"
"1522831749-2283","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","05G29","Mary-Poppins-Grundschule","Grundschule","Kladow","Spandau"
"1522831749-2256","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","06B02","Louise-Schroeder-Schule (OSZ Bürowirtschaft und Verwaltung)","Fachoberschule","Lichterfelde","Steglitz-Zehlendorf"
"1522831749-2303","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","02E20","Mediadesign Hochschule für Design und Informatik GmbH","Künstlerische Schule","Kreuzberg","Friedrichshain-Kreuzberg"
"1522831749-1950","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","03G16","Grundschule am Teutoburger Platz","Grundschule","Prenzlauer Berg","Pankow"
"1522831749-1887","https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/SchulListe.aspx","11K08","George-Orwell-Schule","Integrierte Sekundarschule","Friedrichsfelde","Lichtenberg"
