,address,age,crown_diameter,district_id,downloaded_at,genus_latin,gml_id,identification_tag,ingested_at,location_number,owner,spatial_alias,spatial_name,spatial_type,species_german,species_latin,tree_height,trunk_circumference,year_of_planting
0,Görlitzer Park,56,,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,GLEDITSIA,re_anlagenbaeume.F10__127116,50052,2016-08-15T19:30:47.290Z,263,Land Berlin,F10__127116,F10__127116,Point,DREIDORNIGER LEDERHÜLSENBAUM,GLEDITSIA TRIACANTHOS,12,117,1960
1,Görlitzer Park,20,3,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,CARPINUS,re_anlagenbaeume.F10__127117,50052,2016-08-15T19:30:47.290Z,822,Land Berlin,F10__127117,F10__127117,Point,GEMEINE HAINBUCHE - GEMEINE WEISSBUCHE,CARPINUS BETULUS,7,41,1996
2,Görlitzer Park,21,,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,CARPINUS,re_anlagenbaeume.F10__127118,50052,2016-08-15T19:30:47.290Z,1000,Land Berlin,F10__127118,F10__127118,Point,GEMEINE HAINBUCHE - GEMEINE WEISSBUCHE,CARPINUS BETULUS,,48,1995
3,Görlitzer Park,63,,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,CARPINUS,re_anlagenbaeume.F10__127119,50052,2016-08-15T19:30:47.290Z,1016,Land Berlin,F10__127119,F10__127119,Point,GEMEINE HAINBUCHE - GEMEINE WEISSBUCHE,CARPINUS BETULUS,12,38,1953
4,Görlitzer Park,54,9,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__127557,50052,2016-08-15T19:30:47.290Z,2,Land Berlin,F10__127557,F10__127557,Point,BERG-AHORN  -  WEISS-AHORN,ACER PSEUDOPLATANUS,12,132,1962
5,Görlitzer Park,43,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__127558,50052,2016-08-15T19:30:47.290Z,6,Land Berlin,F10__127558,F10__127558,Point,TATAREN-AHORN,ACER TATARICUM,3,99,1973
6,Görlitzer Park,51,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__127559,50052,2016-08-15T19:30:47.290Z,7,Land Berlin,F10__127559,F10__127559,Point,TATAREN-AHORN,ACER TATARICUM,3,115,1965
7,Görlitzer Park,82,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__127560,50052,2016-08-15T19:30:47.290Z,30,Land Berlin,F10__127560,F10__127560,Point,TATAREN-AHORN,ACER TATARICUM,3,206,1934
8,Görlitzer Park,36,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__127561,50052,2016-08-15T19:30:47.290Z,36,Land Berlin,F10__127561,F10__127561,Point,TATAREN-AHORN,ACER TATARICUM,3,84,1980
9,Görlitzer Park,37,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__127562,50052,2016-08-15T19:30:47.290Z,45,Land Berlin,F10__127562,F10__127562,Point,TATAREN-AHORN,ACER TATARICUM,3,81,1979
10,Görlitzer Park,68,9,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,FRAXINUS,re_anlagenbaeume.F10__127567,50052,2016-08-15T19:30:47.290Z,75,Land Berlin,F10__127567,F10__127567,Point,"MANNA-ESCHE, BLUMEN-ESCHE",FRAXINUS ORNUS,17,162,1948
11,Görlitzer Park,24,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__127568,50052,2016-08-15T19:30:47.290Z,85,Land Berlin,F10__127568,F10__127568,Point,SPITZ-AHORN,ACER PLATANOIDES,7,52,1992
12,Görlitzer Park,33,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__127569,50052,2016-08-15T19:30:47.290Z,92,Land Berlin,F10__127569,F10__127569,Point,SPITZ-AHORN,ACER PLATANOIDES,7,74,1983
13,Görlitzer Park,26,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,TILIA,re_anlagenbaeume.F10__127570,50052,2016-08-15T19:30:47.290Z,94,Land Berlin,F10__127570,F10__127570,Point,SILBER-LINDE,TILIA TOMENTOSA,12,58,1990
14,Görlitzer Park,31,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,QUERCUS,re_anlagenbaeume.F10__127571,50052,2016-08-15T19:30:47.290Z,125,Land Berlin,F10__127571,F10__127571,Point,PYRAMIDEN-EICHE,QUERCUS ROBUR 'FASTIGIATA',12,69,1985
15,Görlitzer Park,23,3,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,QUERCUS,re_anlagenbaeume.F10__127572,50052,2016-08-15T19:30:47.290Z,128,Land Berlin,F10__127572,F10__127572,Point,PYRAMIDEN-EICHE,QUERCUS ROBUR 'FASTIGIATA',12,45,1993
16,Görlitzer Park,26,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,QUERCUS,re_anlagenbaeume.F10__127573,50052,2016-08-15T19:30:47.290Z,134,Land Berlin,F10__127573,F10__127573,Point,PYRAMIDEN-EICHE,QUERCUS ROBUR 'FASTIGIATA',12,57,1990
17,Görlitzer Park,27,3,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__127574,50052,2016-08-15T19:30:47.290Z,165,Land Berlin,F10__127574,F10__127574,Point,FELD-AHORN - HECKEN-AHORN - MASSHOLDER,ACER CAMPESTRE,7,61,1989
